"","year","name","unemployment_rate","gdp","population","income","total_area_sq_km","land_area_sq_km","water_area_sq_km","high_school_grad_number","death_rate","death_numbers","percent_in_poverty"
"159","2018","Colorado",3,495.238,5691287,84420,269601,268431,1170,803431,16.8,995,9.7
"160","2018","Connecticut",3.9,413.553,3571520,84160,14357,12542,1816,670519,30.7,1069,10.3
"161","2018","Delaware",3.7,394.038,965479,75140,6446,5047,1399,208557,43.8,401,12.2
"162","2018","District of Columbia",5.7,441.098,701547,99110,177,158,19,83572,NA,NA,16.1
"163","2018","Florida",3.6,483.788,21244317,63160,170312,138887,31424,4231678,22.8,4698,13.7
"164","2018","Georgia",4,481.149,10511131,64520,153910,148959,4951,1890132,13.2,1404,14.5
"165","2018","Hawaii",2.4,444.168,1420593,92590,28313,16635,11678,273633,14.3,213,9
"166","2018","Idaho",2.9,485.958,1750536,67880,216443,214045,2398,301860,14.6,250,11.7
"167","2018","Illinois",4.4,424.943,12723071,81080,149995,143793,6202,2267535,21.3,2722,12.1
"168","2018","Indiana",3.4,447.669,6695497,69230,94326,92789,1537,1475931,25.6,1629,13
"169","2018","Iowa",2.6,437.87,3148618,79430,145746,144669,1077,648137,9.6,287,11.2
"170","2018","Kansas",3.4,447.713,2911359,73900,213100,211754,1346,492819,12.4,345,11.9
"171","2018","Kentucky",4.2,421.967,4461153,63060,104656,102269,2387,991791,30.9,1315,16.7
"172","2018","Louisiana",4.8,403.253,4659690,57760,135659,111898,23761,1055768,25.4,1140,18.7
"173","2018","Maine",3.2,432.938,1339057,67810,91633,79883,11750,308013,27.9,345,11.6
"174","2018","Maryland",3.8,442.648,6035802,99660,32131,25142,6990,1021847,37.2,2324,9.1
"175","2018","Massachusetts",3.5,452.944,6882635,99800,27336,20202,7134,1150846,32.8,2241,10
"176","2018","Michigan",4.2,441.512,9984072,69870,250487,146435,104052,1966809,26.6,2591,14
"177","2018","Minnesota",3,451.706,5606249,83010,225163,206232,18930,930058,11.5,636,9.6
"178","2018","Mississippi",4.9,401.69,2981020,49450,125438,121531,3907,596564,10.8,310,19.8
